date,close,volume,open,high,low,symbol
2021-08-17,518.91,2309803,515.465,520.79,514.2,NFLX
2021-08-16,517.92,2033176,515.24,523.38,512.3,NFLX
2021-08-13,515.92,2177736,512.64,521.44,511.51,NFLX
2021-08-12,510.72,1686170,511.86,513.0,507.2014,NFLX
2021-08-11,512.4,1673904,517.0,519.57,509.77,NFLX
2021-08-10,515.84,1960544,520.0,520.79,512.965,NFLX
2021-08-09,519.97,1367782,521.1469,522.6699,517.99,NFLX
2021-08-06,520.55,1919798,524.0,526.84,519.39,NFLX
2021-08-05,524.89,2556687,517.13,525.41,514.02,NFLX
2021-08-04,517.35,2039374,513.0,517.98,510.37,NFLX
2021-08-03,510.82,2579427,514.39,515.63,505.37,NFLX
2021-08-02,515.15,2096632,519.0,519.85,510.51,NFLX
2021-07-30,517.57,2537107,512.69,519.79,510.9642,NFLX
2021-07-29,514.25,1736014,519.96,520.7799,513.7927,NFLX
2021-07-28,519.3,2390466,521.82,524.47,516.98,NFLX
2021-07-27,518.91,2759037,518.08,521.95,512.05,NFLX
2021-07-26,516.49,2254538,514.38,521.13,509.0101,NFLX
2021-07-23,515.41,3820478,512.16,517.41,504.66,NFLX
2021-07-22,511.77,4328061,510.206,513.68,507.0,NFLX
2021-07-21,513.63,11906790,526.13,530.99,505.61,NFLX
2021-07-20,531.05,6930440,526.07,536.64,520.3,NFLX
2021-07-19,532.28,3885764,526.05,534.913,522.2401,NFLX
2021-07-16,530.31,3442101,541.81,544.06,527.05,NFLX
2021-07-15,542.95,5713873,553.97,557.5399,538.2,NFLX
2021-07-14,547.95,4659535,541.01,554.1,541.01,NFLX
2021-07-13,540.68,2751593,535.76,545.33,535.76,NFLX
2021-07-12,537.31,1780738,540.3,540.6497,532.92,NFLX
2021-07-09,535.98,2777231,531.0,538.26,528.58,NFLX
2021-07-08,530.76,3268988,530.93,535.5,529.09,NFLX
2021-07-07,535.96,2722498,544.24,544.64,531.66,NFLX
2021-07-06,541.64,2775051,533.0,542.86,533.0,NFLX
2021-07-02,533.98,1980316,535.5,538.5351,529.39,NFLX
2021-07-01,533.54,2805402,525.72,537.04,525.72,NFLX
2021-06-30,528.21,2773445,534.055,534.38,526.82,NFLX
2021-06-29,533.5,2314647,533.55,536.13,528.57,NFLX
2021-06-28,533.03,2820227,528.12,533.9399,524.56,NFLX
2021-06-25,527.07,5299072,528.84,533.06,525.0,NFLX
2021-06-24,518.06,3361202,517.96,520.96,514.4001,NFLX
2021-06-23,512.74,3944782,508.48,516.63,508.2,NFLX
2021-06-22,508.82,5809271,498.54,513.55,495.795,NFLX
2021-06-21,497.0,5277297,501.64,502.05,492.28,NFLX
2021-06-18,500.77,5197576,496.4,504.49,495.24,NFLX
2021-06-17,498.34,3198273,490.25,501.8,490.15,NFLX
2021-06-16,492.41,3533206,495.0,496.46,486.28,NFLX
2021-06-15,491.9,3104073,501.23,501.23,490.4,NFLX
2021-06-14,499.89,4400222,489.68,503.5,486.91,NFLX
2021-06-11,488.77,3123969,490.0,491.41,487.78,NFLX
2021-06-10,487.27,4382928,487.165,490.21,482.14,NFLX
2021-06-09,485.81,3055029,494.5,496.09,484.65,NFLX
2021-06-08,492.39,2374037,497.0,498.82,489.37,NFLX
2021-06-07,494.66,2791932,492.917,496.7,490.55,NFLX
2021-06-04,494.74,3160487,492.0,501.86,490.95,NFLX
2021-06-03,489.43,3887445,495.19,496.66,487.25,NFLX
2021-06-02,499.24,2268979,499.82,503.22,495.82,NFLX
2021-06-01,499.08,2482555,504.01,505.41,497.7443,NFLX
2021-05-28,502.81,2911297,504.4,511.76,502.53,NFLX
2021-05-27,503.86,3253773,501.8,505.1,498.54,NFLX
2021-05-26,502.36,2465303,502.34,504.14,500.5,NFLX
2021-05-25,501.34,2699459,506.0,506.365,499.22,NFLX
2021-05-24,502.9,2412595,501.05,504.25,499.51,NFLX
2021-05-21,497.89,3322925,503.12,505.4,497.26,NFLX
2021-05-20,501.67,3721218,489.55,502.7,488.975,NFLX
2021-05-19,487.7,3349930,481.625,488.57,478.54,NFLX
2021-05-18,486.28,2350496,488.395,493.4778,486.1895,NFLX
2021-05-17,488.94,2701057,485.59,492.71,482.81,NFLX
2021-05-14,493.37,2882464,487.86,494.85,486.59,NFLX
2021-05-13,486.66,2716561,489.13,490.775,482.71,NFLX
2021-05-12,484.98,4121540,486.83,493.54,482.7,NFLX
2021-05-11,495.08,4401000,479.75,497.99,478.63,NFLX
2021-05-10,486.69,5131632,502.0,503.15,486.11,NFLX
2021-05-07,503.84,3132786,504.62,508.55,501.12,NFLX
2021-05-06,499.55,3783698,495.99,499.55,491.37,NFLX
2021-05-05,496.08,3129366,504.99,507.7843,494.63,NFLX
2021-05-04,503.18,4349502,510.78,511.63,496.79,NFLX
2021-05-03,509.11,4091895,512.65,518.95,505.2,NFLX
2021-04-30,513.47,4413242,505.0,514.55,505.0,NFLX
2021-04-29,509.0,5127792,507.6,509.29,499.0,NFLX
2021-04-28,506.52,3192983,505.2,508.395,503.34,NFLX
2021-04-27,505.55,3761327,512.62,512.99,504.5808,NFLX
2021-04-26,510.3,4388839,506.76,510.48,503.0,NFLX
2021-04-23,505.55,7314659,509.01,509.7,500.7,NFLX
2021-04-22,508.78,9061062,513.82,513.96,500.55,NFLX
2021-04-21,508.9,22897450,508.0,515.46,503.6001,NFLX
2021-04-20,549.57,11257650,554.42,563.56,546.3,NFLX
2021-04-19,554.44,4288715,546.9,556.44,545.53,NFLX
2021-04-16,546.54,3209075,550.54,551.98,539.51,NFLX
2021-04-15,549.22,3139050,544.17,553.49,542.66,NFLX
2021-04-14,540.02,3740294,554.87,554.87,538.53,NFLX
2021-04-13,553.73,2720344,557.0,559.75,550.3,NFLX
2021-04-12,552.78,2944060,551.05,557.98,549.58,NFLX
2021-04-09,555.31,2894034,552.69,556.9,547.11,NFLX
2021-04-08,554.58,4309829,551.13,556.899,547.57,NFLX
2021-04-07,546.99,2151319,543.5,549.64,541.45,NFLX
2021-04-06,544.53,3474205,544.81,554.165,543.3,NFLX
2021-04-05,540.67,3355904,540.01,542.85,529.23,NFLX
2021-04-01,539.42,3938637,529.93,540.5,527.03,NFLX
2021-03-31,521.66,3503111,515.675,528.13,515.44,NFLX
2021-03-30,513.39,2418129,510.505,514.41,506.91,NFLX
2021-03-29,513.95,3330049,505.66,518.0,504.4,NFLX
2021-03-26,508.05,3467797,502.82,508.72,496.68,NFLX
2021-03-25,502.86,4926764,516.99,518.53,497.0,NFLX
2021-03-24,520.81,4102211,533.78,534.42,520.0,NFLX
2021-03-23,535.09,5583461,529.87,543.12,529.4,NFLX
2021-03-22,523.11,3360587,509.13,529.31,509.13,NFLX
2021-03-19,512.18,4386360,504.96,513.19,501.63,NFLX
2021-03-18,504.79,4096606,516.396,517.9,503.85,NFLX
2021-03-17,524.44,2817376,522.0,528.3654,514.3,NFLX
2021-03-16,524.03,3238888,524.47,533.42,523.21,NFLX
2021-03-15,520.25,3485519,516.32,520.729,508.03,NFLX
2021-03-12,518.02,3981743,512.5,526.51,506.59,NFLX
2021-03-11,523.06,4714469,512.205,530.235,510.71,NFLX
2021-03-10,504.54,3771484,513.5,518.97,504.25,NFLX
2021-03-09,506.44,3470042,507.31,513.11,503.8221,NFLX
2021-03-08,493.33,3981758,514.46,518.84,492.85,NFLX
2021-03-05,516.39,5069973,511.98,517.76,498.7901,NFLX
2021-03-04,511.29,5034792,521.5,531.5,507.68,NFLX
2021-03-03,520.7,5362443,545.93,548.005,517.81,NFLX
2021-03-02,547.82,3042226,553.34,556.99,546.02,NFLX
2021-03-01,550.64,3042180,545.573,552.14,542.0,NFLX
2021-02-26,538.85,3755574,546.51,553.09,538.0,NFLX
2021-02-25,546.7,4252879,550.27,556.48,535.75,NFLX
2021-02-24,553.41,3245038,539.8,556.8499,539.065,NFLX
2021-02-23,546.15,4136532,525.004,548.54,518.28,NFLX
2021-02-22,533.78,3078594,534.99,541.79,530.79,NFLX
2021-02-19,540.22,2841457,548.0,548.99,538.8132,NFLX
2021-02-18,548.22,2457604,549.0,550.0,538.2265,NFLX
2021-02-17,551.34,2071590,550.99,555.25,543.03,NFLX
2021-02-16,557.28,2624097,557.286,563.63,552.73,NFLX
2021-02-12,556.52,2197128,556.94,561.2499,550.85,NFLX
2021-02-11,557.59,2730587,564.442,565.93,554.22,NFLX
2021-02-10,563.59,3991264,562.5,566.65,553.463,NFLX
2021-02-09,559.07,3703499,546.0,566.0,543.0,NFLX
2021-02-08,547.92,2791721,555.0,555.0,543.7,NFLX
2021-02-05,550.79,2376175,552.26,554.44,545.4778,NFLX
2021-02-04,552.16,5164537,539.81,559.48,537.51,NFLX
2021-02-03,539.45,3172288,550.17,550.48,538.243,NFLX
2021-02-02,548.16,3767569,542.01,555.48,538.935,NFLX
2021-02-01,539.04,3547507,536.79,545.06,531.73,NFLX
2021-01-29,532.39,4325264,538.0,541.0,530.18,NFLX
2021-01-28,538.6,5968978,535.88,553.1482,530.74,NFLX
2021-01-27,523.28,8670277,550.71,556.4187,515.73,NFLX
2021-01-26,561.93,5023847,554.73,567.99,554.06,NFLX
2021-01-25,556.78,7207329,567.0,569.75,548.65,NFLX
2021-01-22,565.17,7550822,582.1,583.99,564.35,NFLX
2021-01-21,579.84,11840630,582.45,588.75,570.4,NFLX
2021-01-20,586.34,32637450,565.42,593.2877,556.86,NFLX
2021-01-19,501.77,12315810,501.0,509.25,493.5427,NFLX
2021-01-15,497.98,5895788,500.0,506.32,495.1,NFLX
2021-01-14,500.86,4177357,507.35,514.5,499.58,NFLX
2021-01-13,507.79,5032099,495.5012,512.3542,493.01,NFLX
2021-01-12,494.25,5990425,500.0,501.09,485.6701,NFLX
2021-01-11,499.1,3812720,507.84,510.725,497.95,NFLX
2021-01-08,510.4,2973949,511.31,513.24,504.51,NFLX
2021-01-07,508.89,3686448,508.28,516.44,506.42,NFLX
2021-01-06,500.49,5346210,511.97,513.0998,499.5,NFLX
2021-01-05,520.8,3133872,521.55,526.78,515.89,NFLX
2021-01-04,522.86,4444407,539.0,540.8,515.085,NFLX
2020-12-31,540.73,5392322,525.53,545.5,523.1502,NFLX
2020-12-30,524.59,1876286,530.13,533.2575,523.69,NFLX
2020-12-29,530.87,4022358,519.9,536.5478,515.4801,NFLX
2020-12-28,519.12,2891867,516.43,523.66,507.13,NFLX
2020-12-24,513.97,1143952,515.12,519.345,512.2104,NFLX
2020-12-23,514.48,2393187,524.76,526.32,514.2,NFLX
2020-12-22,527.33,1908529,527.69,530.4,520.5,NFLX
2020-12-21,528.91,3893964,530.05,532.62,521.15,NFLX
2020-12-18,534.45,4502692,533.2,536.37,526.02,NFLX
2020-12-17,532.9,3193377,529.0,535.49,526.44,NFLX
2020-12-16,524.83,3682392,520.11,527.38,517.69,NFLX
2020-12-15,519.78,3398209,518.5,524.7,513.56,NFLX
2020-12-14,522.42,5770424,505.44,524.1603,501.18,NFLX
2020-12-11,503.22,3210928,495.0,503.34,494.85,NFLX
2020-12-10,501.09,3018203,494.56,503.77,492.91,NFLX
2020-12-09,493.6,4178768,510.53,514.5,491.29,NFLX
2020-12-08,512.66,4228950,517.9,521.4909,505.55,NFLX
2020-12-07,515.78,4289293,500.01,517.76,497.77,NFLX
2020-12-04,498.31,3666243,497.5,504.5,493.64,NFLX
2020-12-03,497.52,2826116,502.99,508.77,496.04,NFLX
2020-12-02,503.38,3028358,501.62,506.795,493.5,NFLX
2020-12-01,504.58,5063234,492.3404,509.47,491.9812,NFLX
2020-11-30,490.7,3530940,490.08,492.55,481.2678,NFLX
2020-11-27,491.36,2805762,486.58,493.25,481.845,NFLX
2020-11-25,485.0,3598629,485.13,486.9,478.919,NFLX
2020-11-24,482.88,3557894,478.84,484.05,475.89,NFLX
2020-11-23,476.62,5416571,490.46,491.15,475.84,NFLX
2020-11-20,488.24,4255924,485.22,494.76,481.57,NFLX
2020-11-19,484.67,2254653,482.0,487.8,480.47,NFLX
2020-11-18,481.79,3629237,481.95,488.61,477.7212,NFLX
2020-11-17,480.63,3698082,480.12,487.51,478.8525,NFLX
2020-11-16,479.1,3953563,480.0,485.58,477.3,NFLX
2020-11-13,482.84,3006510,486.77,488.94,477.8,NFLX
2020-11-12,486.77,5071155,491.0,496.52,480.4255,NFLX
2020-11-11,490.76,5460532,483.0,491.68,478.26,NFLX
2020-11-10,480.24,8306142,470.95,484.6,463.41,NFLX
2020-11-09,470.5,10419680,485.54,495.85,467.26,NFLX
2020-11-06,514.73,4236349,515.0,515.21,502.51,NFLX
2020-11-05,513.76,5372781,506.56,518.7337,503.45,NFLX
2020-11-04,496.95,5137330,495.36,507.73,493.98,NFLX
2020-11-03,487.22,3690213,484.93,495.305,478.76,NFLX
2020-11-02,484.12,4408193,478.87,486.3,475.0,NFLX
2020-10-30,475.74,7813897,502.01,505.88,472.21,NFLX
2020-10-29,504.21,11120690,488.5,513.8999,479.34,NFLX
2020-10-28,486.24,5992731,486.36,494.0,483.28,NFLX
2020-10-27,488.93,3627175,490.01,490.49,482.93,NFLX
2020-10-26,488.24,6186087,487.025,496.82,478.9,NFLX
2020-10-23,488.28,4927862,488.11,490.06,481.35,NFLX
2020-10-22,485.23,6997922,494.69,495.14,482.0,NFLX
2020-10-21,489.05,17405710,501.03,506.85,488.25,NFLX
2020-10-20,525.42,10047180,528.14,533.78,522.26,NFLX
2020-10-19,530.72,7567506,537.07,541.8,525.38,NFLX
2020-10-16,530.79,6347363,549.5,554.33,530.03,NFLX
2020-10-15,541.94,5113126,545.52,551.22,535.1,NFLX
2020-10-14,541.45,9510081,562.61,572.49,541.0,NFLX
2020-10-13,554.09,5602498,540.56,557.65,537.2,NFLX
2020-10-12,539.81,5391074,548.81,551.81,538.24,NFLX
2020-10-09,539.44,4781259,537.834,544.28,535.0,NFLX
2020-10-08,531.79,5386488,533.48,535.0,524.15,NFLX
2020-10-07,534.66,7988683,518.0,536.49,515.815,NFLX
2020-10-06,505.87,4199034,518.72,521.82,504.16,NFLX
2020-10-05,520.65,4088069,506.8,520.99,501.6997,NFLX
2020-10-02,503.06,6071165,516.43,526.3714,502.7,NFLX
2020-10-01,527.51,8153710,506.03,529.55,503.6,NFLX
2020-09-30,500.03,4634111,492.57,504.63,489.2704,NFLX
2020-09-29,493.48,3543193,489.5,496.2868,486.53,NFLX
2020-09-28,490.65,4773497,489.109,492.0,477.88,NFLX
2020-09-25,482.88,3769436,474.39,484.87,468.0258,NFLX
2020-09-24,473.08,3727201,470.53,477.0,467.82,NFLX
2020-09-23,470.61,3726423,491.04,491.04,469.0,NFLX
2020-09-22,491.17,3482324,489.01,491.82,479.26,NFLX
2020-09-21,487.35,5457539,467.692,487.775,466.32,NFLX
2020-09-18,469.96,6717711,472.51,479.4,458.6,NFLX
2020-09-17,470.2,5379301,475.16,478.4,463.27,NFLX
2020-09-16,483.86,4401412,499.99,504.66,483.31,NFLX
2020-09-15,495.99,5336992,484.0,497.47,481.63,NFLX
2020-09-14,476.26,7359126,480.62,488.99,471.3001,NFLX
2020-09-11,482.03,5035200,486.485,493.73,476.81,NFLX
2020-09-10,480.67,6240181,503.35,506.29,478.84,NFLX
2020-09-09,500.19,6848127,519.21,520.0,492.5743,NFLX
2020-09-08,507.02,5572684,498.4,522.0,495.0,NFLX
2020-09-04,516.05,8270118,520.18,527.36,485.98,NFLX
2020-09-03,525.75,9071089,545.0,554.0,521.32,NFLX
2020-09-02,552.84,5886930,553.78,556.5,537.369,NFLX
2020-09-01,556.55,9581907,532.6,557.3895,532.45,NFLX
2020-08-31,529.56,4941409,521.16,531.99,517.58,NFLX
2020-08-28,523.89,4417517,532.0,539.0,522.0,NFLX
